         50247 function calls (50245 primitive calls) in 190.815 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       81  167.560    2.069  167.560    2.069 {method 'read' of 'pandas._parser.TextReader' objects}
      163   10.553    0.065   10.553    0.065 {numpy.core.multiarray.concatenate}
        1    2.619    2.619    2.619    2.619 {pandas.algos.median}
        1    1.483    1.483  190.694  190.694 profile_stat.py:8(run)
        4    1.387    0.347    1.387    0.347 common.py:128(_isnull_ndarraylike)
      249    0.993    0.004    0.993    0.004 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.698    0.349    0.698    0.349 {method 'copy' of 'numpy.ndarray' objects}
        1    0.641    0.641    0.641    0.641 {method 'take' of 'numpy.ndarray' objects}
        1    0.529    0.529    0.529    0.529 {method 'nonzero' of 'numpy.ndarray' objects}
       81    0.526    0.006    0.527    0.007 parsers.py:875(__init__)
        1    0.516    0.516    3.585    3.585 nanops.py:125(get_median)
        1    0.423    0.423    0.423    0.423 {pandas.algos.take_2d_axis0_float64}
       83    0.398    0.005    0.398    0.005 {numpy.core.multiarray.arange}
1170/1168    0.352    0.000    0.353    0.000 {numpy.core.multiarray.array}
        2    0.347    0.174    0.347    0.174 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.337    0.337    1.485    1.485 nanops.py:140(_nanvar)
       81    0.302    0.004    0.306    0.004 internals.py:1409(_stack_arrays)
        2    0.255    0.128    0.255    0.128 {operator.eq}
        2    0.209    0.104    0.209    0.104 {numpy.core.multiarray.putmask}
        2    0.204    0.102    0.894    0.447 common.py:182(notnull)
        1    0.121    0.121  190.815  190.815 <string>:1(<module>)
        3    0.101    0.034    6.211    2.070 nanops.py:25(f)
        2    0.049    0.024    0.049    0.024 {method 'astype' of 'numpy.ndarray' objects}
        1    0.046    0.046    2.762    2.762 frame.py:2949(dropna)
       81    0.038    0.000  168.621    2.082 parsers.py:179(_read)
      174    0.011    0.000    0.011    0.000 {pandas.lib.infer_dtype}
        1    0.010    0.010    0.867    0.867 frame.py:4631(count)
       81    0.010    0.000    5.162    0.064 index.py:369(append)
        1    0.006    0.006    3.591    3.591 nanops.py:124(_nanmedian)
      332    0.004    0.000    0.068    0.000 index.py:88(__new__)
      247    0.003    0.000    0.008    0.000 numeric.py:2080(array_equal)
       81    0.003    0.000    0.003    0.000 {pandas.lib.clean_index_list}
       81    0.002    0.000  168.623    2.082 parsers.py:286(parser_f)
      324    0.002    0.000    0.003    0.000 encoder.py:245(iterencode)
       81    0.002    0.000  167.564    2.069 parsers.py:948(read)
     8032    0.002    0.000    0.002    0.000 {isinstance}
       81    0.002    0.000    0.002    0.000 uuid.py:101(__init__)
       83    0.002    0.000    0.483    0.006 frame.py:469(_init_dict)
       81    0.001    0.000    0.004    0.000 uuid.py:531(uuid4)
