         24731 function calls (24730 primitive calls) in 244.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450  223.675    0.497  223.675    0.497 {method 'acquire' of 'thread.lock' objects}
      164   11.006    0.067   11.006    0.067 {numpy.core.multiarray.concatenate}
        1    2.620    2.620    2.620    2.620 {pandas.algos.median}
        1    1.201    1.201  244.566  244.566 profile_method1.py:1(run)
       81    1.163    0.014    1.519    0.019 {cPickle.loads}
        3    1.034    0.345    1.034    0.345 common.py:128(_isnull_ndarraylike)
        2    0.711    0.355    0.711    0.355 {method 'copy' of 'numpy.ndarray' objects}
      253    0.584    0.002    0.584    0.002 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.561    0.561    0.561    0.561 {open}
        1    0.510    0.510    3.575    3.575 nanops.py:125(get_median)
        1    0.351    0.351    1.546    1.546 nanops.py:140(_nanvar)
      243    0.349    0.001    0.349    0.001 index.py:325(__setstate__)
        1    0.338    0.338  244.903  244.903 <string>:1(<module>)
        2    0.309    0.154    0.309    0.154 {numpy.core.multiarray.putmask}
        1    0.101    0.101    0.445    0.445 common.py:182(notnull)
        3    0.095    0.032    6.319    2.106 nanops.py:25(f)
  851/850    0.077    0.000    0.077    0.000 {numpy.core.multiarray.array}
        1    0.052    0.052    0.052    0.052 {numpy.core.multiarray.arange}
        4    0.048    0.012    0.048    0.012 {method 'astype' of 'numpy.ndarray' objects}
        6    0.042    0.007    0.042    0.007 {method 'read' of 'file' objects}
       14    0.010    0.001    0.010    0.001 {pandas.lib.infer_dtype}
       82    0.009    0.000    5.556    0.068 index.py:369(append)
        1    0.005    0.005    3.582    3.582 shape_base.py:11(apply_along_axis)
        3    0.004    0.001    0.004    0.001 {posix.read}
      250    0.003    0.000    0.008    0.000 numeric.py:2080(array_equal)
        3    0.003    0.001    0.003    0.001 {posix.fork}
       82    0.002    0.000    0.007    0.000 merge.py:1023(_get_reindexed_data)
       91    0.002    0.000    0.063    0.001 index.py:88(__new__)
